DMSO,Bleomycin,Bleomycin,Bleomycin,Doxorubicin,Doxorubicin,Doxorubicin,Sterigmatocystin,Sterigmatocystin,KCB25-11A,KCB25-11A,KCB25-11A,KCB25-11A,KCB25-11A,KCB25-11B,KCB25-11B,KCB25-11B,KCB25-11B,KCB25-11B
1.43821725,6.154720988,9.347480296,18.11839196,4.036044138,4.418165948,6.375986957,2.265431169,2.92846875,3.407432385,2.507601127,6.841186297,25.33663574,28.71833611,12.37567893,29.86237269,45.44135976,50.41511188,48.09591803
1.392242435,8.307132579,9.798646411,19.64127468,4.359396047,4.733116318,6.574374123,1.99108023,2.825754667,2.666454825,2.364914611,8.262011803,23.74466383,32.94434889,9.522938384,24.80949324,42.929655,41.1616246,48.6527451
1.370098528,8.227734234,10.41569741,19.35880402,4.747506024,4.508700654,6.515171717,1.967444015,2.829069235,2.325711295,2.488271858,5.768961472,19.53054214,28.17024272,12.78627985,23.97411149,48.16525191,45.78729,54.98629275
1.32595546,7.302755652,10.66654194,20.32040152,4.344087264,4.344476279,5.704269408,2.059394121,2.971613547,2.143496418,2.501305313,5.482863684,27.65452203,33.87930516,12.33756203,24.93471229,40.35564896,55.28388462,43.80281556
1.356292016,6.834449345,9.564801796,15.07429176,4.104117195,4.304933585,6.475813836,2.015562876,2.817213293,2.209703723,2.32523,6.700919608,22.0258821,31.78647544,11.23958046,20.21773391,43.04230467,43.56475524,52.15837564
1.734084628,6.253632258,8.910521127,18.15971613,4.169637065,4.552464939,6.103879861,2.086562279,2.942927964,2.368939941,2.544946746,6.382336308,22.10885551,34.62565401,10.36556073,23.91340094,44.38154586,51.87229016,55.42056782
1.730778053,7.392370874,9.555659355,16.63210161,4.49271025,4.531353529,6.682833582,2.21570355,3.272453416,2.318735165,2.585315738,4.627052824,23.96070892,36.97654612,12.9808108,29.67108658,41.09133553,57.26870968,51.59308
1.380538973,7.248541294,9.942434965,20.38698831,4.462447437,4.716116474,7.357035433,2.159574826,3.08193921,2.271732208,2.442890751,6.43577963,26.42185477,35.1479515,15.92478905,26.33189773,39.49265161,53.30799764,53.36938791
1.796896154,9.36430125,7.827516892,21.60021486,4.405244091,4.416474731,6.624361953,2.478516987,3.158632558,2.283357995,2.492042479,5.911805422,22.180082,36.431208,12.3841558,27.37602158,46.49992994,56.03011538,64.49604082
1.338976863,13.12129538,9.078471186,26.42628387,4.634383143,4.92865561,6.540008986,2.495484172,2.910066575,2.32496035,2.651233238,7.639699,26.33125206,37.74460755,16.03318713,31.34620787,42.92778553,54.17234846,59.28129474
1.32551497,8.003799119,10.58320195,19.77685169,4.426212017,4.501229565,6.471533,2.19989918,3.15363125,2.262310811,2.639504937,6.250558805,25.66470539,32.95860043,10.86056164,30.47965957,44.20862838,48.51638333,53.95033333
2.834396525,7.887618651,9.843565833,23.29782955,4.393724678,4.463365202,6.645268584,1.978130124,2.671374552,2.648113487,2.461231461,7.29050113,20.02512581,30.29631034,15.10211029,25.03024034,43.34134694,53.72261203,55.59965873
1.54406897,9.090270833,11.52415,20.31759514,5.009224889,4.226837838,6.593056716,2.014564749,2.591336393,2.394739565,2.79164926,6.364700683,26.10846801,29.02109286,11.71140816,24.31415468,46.62761151,44.33829412,52.7548169
1.572564783,3.204607042,7.156677674,19.41384337,2.548749565,4.432488421,6.600901242,1.960784734,2.647667702,1.86768228,2.048389804,4.148312581,30.41350193,32.31555778,10.69787801,25.09398319,38.84940794,52.5564693,46.17413288
1.42975331,4.223601887,5.832218713,19.17526769,3.406231667,4.638558421,6.450643023,2.223540891,2.776182129,2.14462797,2.175715508,4.877782828,25.70147756,33.63256722,14.06419,21.53765056,37.99915929,50.89042913,40.25103636
1.418441379,4.935755455,6.384583333,21.46012707,3.554798187,4.098378659,7.132050685,2.547615901,3.24456073,2.275500299,2.382976275,5.63145638,26.95112887,33.91528689,11.95290576,25.15972521,36.20483237,48.28514122,48.86375802
1.375424181,3.333408,5.26391913,18.12795103,3.403102128,4.510316827,6.290957143,2.185123846,2.609850631,2.016913913,2.375163533,6.460496657,25.22243617,35.04384337,11.18953696,24.67118796,42.74917339,51.67214019,50.32573571
1.37552947,4.130241026,5.967955159,23.45234091,3.642094303,4.518966797,6.752116279,1.980789798,2.669516214,2.109121779,2.567884294,6.306243197,28.17476027,35.6898022,12.98866404,28.01985319,46.43443137,47.56243836,38.94331875
1.410634911,4.135317717,5.741774554,21.36137089,3.632529198,4.591690299,6.4268,2.348428165,2.580692593,2.055405333,2.238118505,5.029631449,28.36030451,31.73607665,9.924732624,21.17588889,45.85470394,51.3057082,49.10051379
1.410818801,3.779669574,9.069296154,22.30758744,3.101298551,4.627226298,6.257903571,2.04954796,2.726901507,1.988273871,2.295515867,5.2156,23.15267782,35.57602718,9.01557,18.06533671,49.1213,45.61554737,54.31846324
1.501252943,3.7882898,4.138341944,22.54712295,3.202079724,4.271826772,6.145688571,1.949268664,2.843744286,1.702868867,2.191054507,4.124589744,24.65102426,39.86717972,8.332689147,26.69157901,37.60750333,45.10721481,47.79106538
